text,lemma,type,pos,BM,domain
tiemblo,tiemblo,uniword,VERB,None,None
tan duro,tanto,multiword,ADV,None,None
reactivado,reactivar,uniword,VERB,None,None
reconstrucción,reconstrucción,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/reconstrucci%C3%B3n-00270186-n']),u.c.StringArray(elements=['Tratamiento » Cirugía'])
adaptar,adaptar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/reconstrucci%C3%B3n-00270186-n']),u.c.StringArray(elements=['Tratamiento » Cirugía'])
reconstruido,reconstruido,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/reconstrucci%C3%B3n-00270186-n']),u.c.StringArray(elements=['Tratamiento » Cirugía'])
rezar,rezar,uniword,VERB,None,None
transmitirles,transmitir él,uniword,VERB,None,None
fastidia,fastidiar,uniword,VERB,None,None
limpiooo,limpiooo ,uniword,VERB,None,None
orientación,orientación,uniword,NOUN,None,None
desolados,desolado,uniword,ADJ,None,None
buenas noticias,buena,multiword,ADJ,None,None
"gran noticia,",gran,multiword,ADJ,None,None
inactivo,inactivo,uniword,ADJ,None,None
orientarte,orientarte,uniword,VERB,None,None
encajando,encajar,uniword,VERB,None,None
rompiendo,romper,uniword,VERB,None,None
salvé,salvé,uniword,VERB,None,None
resistiría;resistir,resistir,uniword,VERB,None,None
someterme,someter yo,uniword,VERB,None,None
actividad,actividad,uniword,NOUN,None,None
compáñera de vida,compáñero,multiword,ADJ,None,None
cargo,cargo,uniword,NOUN,None,None
desalentadoras,desalentadora,uniword,ADJ,None,None
pierdo,pierdo,uniword,VERB,None,None
logro,lograr,uniword,VERB,None,None
bajones,bajón,uniword,NOUN,None,None
candidata,candidata,uniword,NOUN,None,None
durisimo,durisimo,uniword,ADV,None,None
olvido,olvido,uniword,NOUN,None,None
regresó,regresar,uniword,VERB,None,None
alimentaban,alimentar,uniword,VERB,None,None
campeona,campeona,uniword,NOUN,None,None
aplicaron,aplicar,uniword,VERB,None,None
compartirme,compartirmar,uniword,VERB,None,None
tomarme,tomarme,uniword,VERB,None,None
intercambiar,intercambiar,uniword,VERB,None,None
angelito,angelito,uniword,NOUN,None,None
luchanco,luchanco,uniword,VERB,None,None
fallo,fallo,uniword,NOUN,None,None
activarse,activar él,uniword,VERB,None,None
jodido,jodido,uniword,ADJ,None,None
ensayo,ensayo,uniword,PROPN,None,None
abatida,abatido,uniword,ADJ,None,None
mal,mal,uniword,ADV,None,None
infierno,infierno,uniword,PROPN,None,None
vaciaron,vaciar,uniword,VERB,None,None
limpiar,limpiar,uniword,VERB,None,None
toleró;toleraba,tolerar,uniword,VERB,None,None
desfallezcais,desfallezcais,uniword,ADJ,None,None
escucharme,escucharme,uniword,VERB,None,None
deshacerme,deshacer yo,uniword,VERB,None,None
valiente,valiente,uniword,PROPN,None,None
mierda,mierda,uniword,PROPN,None,None
superarla,superar él,uniword,VERB,None,None
desgaste,desgaste,uniword,NOUN,None,None
experiencia,experiencia,uniword,NOUN,None,None
milagro,milagro,uniword,NOUN,None,None
desenlace,desenlace,uniword,NOUN,None,None
ofertan,ofertar,uniword,VERB,None,None
estáis,estáis,uniword,AUX,None,None
decantado,decantado,uniword,ADJ,None,None
encontrarla,encontrar él,uniword,VERB,None,None
castigada,castigado,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/recuperar-02205887-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
relegada,relegado,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/recuperar-02205887-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
