MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	decaer	decaer, decaído	34	decaer-02039876-v	decaer-00203866-v		u.c.StringArray(elements=['dicho de una persona o de una cosa: ir a menos, perder alguna parte de las condiciones o propiedades que constituían su fuerza, bondad, importancia o valor.'])
OneWordMV	decaído	decaer, decaído	34	decaer-02039876-v	decaer-00203866-v		u.c.StringArray(elements=['dicho de una persona o de una cosa: ir a menos, perder alguna parte de las condiciones o propiedades que constituían su fuerza, bondad, importancia o valor.'])
OneWordMV	decantado		51	decantar-02070296-v	decantar-00674607-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/decantar-00679389-v		
OneWordMV	declinar	declinar oportunidades					
OneWordMV	declive	declive de salud	2	declive-09265620-n			
OneWordMV	dejar	dejar el tratamiento, dejar de pensar, dejar vivir, dejar de fumar, dejar de tener, dejar (algo) atrás, dejar pasar el tiempo, dejar de buscar, dejar de hablar, dejar tocado, dejar testimonio, dejar helado, dejar frío, dejar echo polvo, dejar en paz	6, 3	dejar-02009433-v	interrumpir-00362348-v		
Frame_RoleMismatch	dejar	un dolor de estómago permanente que no me deja alimentarme y recuperarme bien.					
OneWordMV	delicado		23	delicado-00709215-a	enfermo-02541302-a	u.c.StringArray(elements=['fino, atento, suave, tierno.'])	u.c.StringArray(elements=['difícil, expuesto a contingencias'])
OneWordMV	delirio		2	delirio-14387202-n	delirio-14391876-n		
OneWordMV	demoledor	resultado demoledor					
Frame	dentro	te sientes bien por dentro y por fuera					
OneWordMV	depender	depender algo de alguien					
OneWordMV	deriva		83		mandar-01031256-v		
OneWordMV	derivar	derivar a urgencias					
OneWordMV	derrumbar	derrumbar, derrumbar(se)	33	derrumbar-01656458-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/derrumbarse-01972570-v	derrumbarse-02041877-v		
OneWordMV	desahogar(se)	desahogar(se), desahogo	30	desahogo-03303965-n	desahogo-07493280-n		
OneWordMV	desahogar(se)	desahogar(se), desahogo	30	desahogo-03303965-n	desahogo-07493280-n		
OneWordMV	desalentador	noticia desalentadora	53	aliento-14841770-n	desalentador-00364881-a		
OneWordMV	desaparecer		11	desaparecer-02156844-v			u.c.StringArray(elements=['dejar de existir. (rae)'])
OneWordMV	desaparecido			desaparici%C3%B3n-00053609-n	remitir-00268314-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desaparecer-00267681-v		
OneWordMV	desaparición						
OneWordMV	desarrollo	desarrollar medicamentos, desarrollar un cáncer, desarrollar defensas 					
OneWordMV	descalabro	siento que, tan joven, te toque pasar por estos "descalabros" que la vida nos prepara!	2	descalabro-07318299-n			
OneWordMV	descalabros		81	descalabro-07318299-n	descalabro-07475870-n		
OneWordMV	descansar		26	descansar-00014405-v	descansar-01548072-v		
OneWordMV	descargar		30	descargar-00448680-v	descargar-01815471-v		
OneWordMV	descartar		61	descarte-00091503-n	descartar-00685419-v		
OneWordMV	desconectar		30	desconectar-01356038-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desconectar-01510576-v	relajar-00025985-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/relajarse-00082308-v		
OneWordMV	descubrir	descubrir, descubrimiento	53, 34	descubrimiento-00043195-n	descubrimiento-05808218-n		
